scenario,controller,ablation,metric,environment_units,excluded_environment_units,exclusions,mean_change,paired_ci95_low,paired_ci95_high,status
A_translation,connectome,output_disconnect,escape_drive_integral,30,0,[],-0.9836196919803216,-1.1055640155582482,-0.869926597014391,completed
A_translation,connectome,readout_clamp,food,30,0,[],0.0,0.0,0.0,completed
A_translation,connectome,readout_clamp,collision_substeps,30,0,[],0.0,0.0,0.0,completed
A_translation,connectome,readout_clamp,motor_energy_demand,30,0,[],-0.015658071054213057,-0.017498306398946343,-0.013949873822071203,completed
A_translation,connectome,readout_clamp,escape_drive_integral,30,0,[],-0.9836196919803216,-1.1017047397233362,-0.8747199380383663,completed
A_translation,connectome,vision_off,food,30,0,[],0.0,0.0,0.0,completed
A_translation,connectome,vision_off,collision_substeps,30,0,[],0.0,0.0,0.0,completed
A_translation,connectome,vision_off,motor_energy_demand,30,0,[],-0.014778132648549545,-0.016600704905091256,-0.013062991865294658,completed
A_translation,connectome,vision_off,escape_drive_integral,30,0,[],-0.9836196919803216,-1.0985312917157868,-0.8758406242731175,completed
A_translation,hybrid-101,reflex_off,food,30,0,[],0.0,0.0,0.0,completed
A_translation,hybrid-101,reflex_off,collision_substeps,30,0,[],0.0,0.0,0.0,completed
A_translation,hybrid-101,reflex_off,motor_energy_demand,30,0,[],-0.0017091410152614102,-0.001968172952961425,-0.001456509227536616,completed
A_translation,hybrid-101,reflex_off,escape_drive_integral,30,0,[],-0.11437127771973611,-0.1319777024284005,-0.0968711177828411,completed
A_translation,hybrid-202,reflex_off,food,30,0,[],0.0,0.0,0.0,completed
A_translation,hybrid-202,reflex_off,collision_substeps,30,0,[],0.0,0.0,0.0,completed
A_translation,hybrid-202,reflex_off,motor_energy_demand,30,0,[],-0.0005940158265233039,-0.0007312010348779457,-0.00047113069336985486,completed
A_translation,hybrid-202,reflex_off,escape_drive_integral,30,0,[],-0.039898735781510694,-0.04937785870507361,-0.03152196715598308,completed
A_translation,hybrid-303,reflex_off,food,30,0,[],0.0,0.0,0.0,completed
A_translation,hybrid-303,reflex_off,collision_substeps,30,0,[],0.0,0.0,0.0,completed
A_translation,hybrid-303,reflex_off,motor_energy_demand,30,0,[],-2.0666510462761614e-05,-3.984629918535508e-05,-4.789937694868e-06,completed
A_translation,hybrid-303,reflex_off,escape_drive_integral,30,0,[],-0.0013826039632161373,-0.0028011368890603185,-0.0003313129345575927,completed
A_contraction,connectome,output_disconnect,food,30,0,[],0.0,0.0,0.0,completed
A_contraction,connectome,output_disconnect,collision_substeps,30,0,[],0.0,0.0,0.0,completed
A_contraction,connectome,output_disconnect,motor_energy_demand,30,0,[],-0.0034800718592212275,-0.005332654305069961,-0.0019386102796756124,completed
A_contraction,connectome,output_disconnect,escape_drive_integral,30,0,[],-0.23163460244513004,-0.3511834923579906,-0.1243629069343962,completed
A_contraction,connectome,readout_clamp,food,30,0,[],0.0,0.0,0.0,completed
A_contraction,connectome,readout_clamp,collision_substeps,30,0,[],0.0,0.0,0.0,completed
A_contraction,connectome,readout_clamp,motor_energy_demand,30,0,[],-0.00436001026488474,-0.006170897144333093,-0.0028247203957235973,completed
A_contraction,connectome,readout_clamp,escape_drive_integral,30,0,[],-0.23163460244513004,-0.3599170743345106,-0.13101175339212404,completed
A_contraction,connectome,vision_off,food,30,0,[],0.0,0.0,0.0,completed
A_contraction,connectome,vision_off,collision_substeps,30,0,[],0.0,0.0,0.0,completed
A_contraction,connectome,vision_off,motor_energy_demand,30,0,[],-0.0034800718592212275,-0.005297964258477486,-0.0018904813597480313,completed
A_contraction,connectome,vision_off,escape_drive_integral,30,0,[],-0.23163460244513004,-0.3567592475861088,-0.13078382559657784,completed
