scenario,architecture,metric,training_seeds,environment_units,excluded_environment_units,exclusions,status,mean_difference_vs_connectome,hierarchical_paired_ci95_low,hierarchical_paired_ci95_high
C_occlusion,recurrent,collision_substeps,3,30,0,[],completed,-268.2,-361.66833333333335,-174.92750000000004
C_occlusion,recurrent,motor_energy_demand,3,30,0,[],completed,-0.015957347067571168,-0.024816344274102207,-0.005910070653468926
C_occlusion,hybrid,food,3,30,0,[],completed,0.0,0.0,0.0
C_occlusion,hybrid,collision_substeps,3,30,0,[],completed,-267.2888888888889,-360.32166666666666,-167.803888888889
C_occlusion,hybrid,motor_energy_demand,3,30,0,[],completed,0.02857411563707409,0.009860353196962485,0.05049504968789593
C_relocation,feedforward,food,3,30,0,[],completed,0.050827029767404844,-0.04187413326346764,0.15062296993216567
C_relocation,feedforward,collision_substeps,3,30,0,[],completed,0.0,0.0,0.0
C_relocation,feedforward,motor_energy_demand,3,30,0,[],completed,0.010900687884671738,0.004410537585154446,0.01635849948960218
C_relocation,recurrent,food,3,30,0,[],completed,0.08214271115414393,-0.017231816484922943,0.19353504203329197
C_relocation,recurrent,collision_substeps,3,30,0,[],completed,0.0,0.0,0.0
C_relocation,recurrent,motor_energy_demand,3,30,0,[],completed,0.02408758632354303,0.014527872178002747,0.031019918858889207
C_relocation,hybrid,food,3,30,0,[],completed,0.016988179183937666,-0.029299469671092815,0.06371611209384952
C_relocation,hybrid,collision_substeps,3,30,0,[],completed,0.0,0.0,0.0
C_relocation,hybrid,motor_energy_demand,3,30,0,[],completed,0.05693758291773828,0.025325956761526793,0.09962664520216476
C_unseen,feedforward,food,3,30,0,[],completed,-0.0038988224608696195,-0.010074911196870203,0.0
C_unseen,feedforward,collision_substeps,3,30,0,[],completed,-374.3333333333333,-454.64166666666665,-283.9291666666667
C_unseen,feedforward,motor_energy_demand,3,30,0,[],completed,-0.04713022730108155,-0.054903688375012444,-0.03958075901467661
C_unseen,recurrent,food,3,30,0,[],completed,-0.0038988224608696195,-0.010074911196870203,0.0
C_unseen,recurrent,collision_substeps,3,30,0,[],completed,-374.3333333333333,-456.7341666666667,-287.9258333333334
C_unseen,recurrent,motor_energy_demand,3,30,0,[],completed,-0.028927305460657794,-0.03667600086858267,-0.021423891789181145
C_unseen,hybrid,food,3,30,0,[],completed,-0.002927747694700627,-0.009337635602610906,0.001922416143119335
C_unseen,hybrid,collision_substeps,3,30,0,[],completed,-357.55555555555554,-439.03222222222223,-266.68166666666673
C_unseen,hybrid,motor_energy_demand,3,30,0,[],completed,0.020967334882980967,0.0042128216435450136,0.04009468000071473
