group,training_seeds,environment_units,excluded_units,metric,mean_noise_minus_clean,paired_crossed_ci95_low,paired_crossed_ci95_high
connectome,0,30,[],food,-0.017047699510724598,-0.02121622171409746,-0.013380915845813805
connectome,0,30,[],collision_substeps,0.0,0.0,0.0
connectome,0,30,[],motor_energy_demand,0.0017592289960717553,0.001486974251410749,0.0020600701447936872
connectome,0,30,[],final_simulated_energy,-0.010283078751433734,-0.012279220482230829,-0.008261902738159582
connectome,0,30,[],escape_drive_integral,0.1119780366258938,0.09352497603538559,0.13066294979272436
connectome,0,30,[],inference_mean_ms,2.8989336292466326,-5.845722905918961,13.18014354850456
feedforward,3,30,[],food,-0.00010785569416151769,-0.00032150781154633064,0.0
feedforward,3,30,[],collision_substeps,0.0,0.0,0.0
feedforward,3,30,[],motor_energy_demand,-3.04082159752855e-05,-5.1517609564474974e-05,-1.309033217636564e-05
feedforward,3,30,[],final_simulated_energy,-2.3519631105473677e-05,-0.0001346288953119437,3.510875483009321e-05
feedforward,3,30,[],escape_drive_integral,-0.0014290000932912041,-0.002388964249721421,-0.0008421130616890468
feedforward,3,30,[],inference_mean_ms,0.0006466146506783032,-0.0064803852622086835,0.0072760362142515805
recurrent,3,30,[],food,-0.0006447095436354477,-0.0022215401521159493,1.5987124707970516e-06
recurrent,3,30,[],collision_substeps,0.0,0.0,0.0
recurrent,3,30,[],motor_energy_demand,-1.565244947518745e-05,-5.7256900753096096e-05,1.8084532613741666e-05
recurrent,3,30,[],final_simulated_energy,-0.0003067023223426076,-0.0010432948628403917,7.717356745696737e-06
recurrent,3,30,[],escape_drive_integral,-0.00035152937885788024,-0.0020309448168923474,0.0014224788874387707
recurrent,3,30,[],inference_mean_ms,-0.0016960637100661806,-0.014931313135268822,0.010428988131267627
hybrid,3,30,[],food,-0.000781193565991188,-0.0032742231332179607,0.000404852317092528
hybrid,3,30,[],collision_substeps,0.0,0.0,0.0
hybrid,3,30,[],motor_energy_demand,0.0011567970144716604,0.00016768372302452752,0.0019649217211402943
hybrid,3,30,[],final_simulated_energy,-0.0015473937974672576,-0.0030908009087504975,-0.00043185919754607475
hybrid,3,30,[],escape_drive_integral,0.07754265914205463,0.011490901336570597,0.13332972918202476
hybrid,3,30,[],inference_mean_ms,-0.0011212407154272568,-0.00970518664064541,0.011054090987589122
