status,failure,completed_windows,wall_seconds,simulation_seconds,sampled_peak_process_rss_bytes,body_metrics,total_food,total_collision_substeps,total_motor_energy_demand,remaining_food,physical_energy_debit,physical_energy_debit_status,family,condition,environment_seed,controller,allocation,windows,protocol_sha256,trajectory,trajectory_sha256
completed,,75,6.272710124991136,1.5,536920064,"[{""baseline_escape_drive"":null,""collision_substeps"":0,""escape_drive_integral"":1.396181908960042,""final_simulated_energy"":0.3809111558774436,""food"":0.10815914717673396,""inference_mean_ms"":79.56975161253165,""inference_wall_seconds"":5.967731370939873,""motor_energy_demand"":0.023168417710922286,""reaction_seconds"":null,""recovery_seconds"":null,""simulation_seconds"":1.5}]",0.10815914717673396,0,0.023168417710922286,0.5918408528232681,0.0,not_applicable,stress,clean,190001,connectome,"[""connectome""]",75,aa4b3cee902019b16faa0c35609e9e3aa006dbc0e2621dfb08ceab6de62fa6fb,stress--connectome--clean--190001.npz,c05023b572cc29cf0e48041d2d57dbc0ee71833054acd74ad7d6251c134f1d59
completed,,75,5.972967499983497,1.5,541704192,"[{""baseline_escape_drive"":null,""collision_substeps"":0,""escape_drive_integral"":1.362783921565153,""final_simulated_energy"":0.3761687275127764,""food"":0.09795519119640146,""inference_mean_ms"":75.49989826705618,""inference_wall_seconds"":5.662492370029213,""motor_energy_demand"":0.0228088680854237,""reaction_seconds"":null,""recovery_seconds"":null,""simulation_seconds"":1.5}]",0.09795519119640146,0,0.0228088680854237,0.6020448088036003,0.0,not_applicable,stress,clean,190002,connectome,"[""connectome""]",75,aa4b3cee902019b16faa0c35609e9e3aa006dbc0e2621dfb08ceab6de62fa6fb,stress--connectome--clean--190002.npz,bd811e925678c538e0cecd488cc50627636d3d2e7fb6f19d5bc2bd6272cb888c
completed,,75,6.225097292015562,1.5,541720576,"[{""baseline_escape_drive"":null,""collision_substeps"":0,""escape_drive_integral"":1.3282262981938675,""final_simulated_energy"":0.3768606975322196,""food"":0.09809786342045705,""inference_mean_ms"":78.77702835908471,""inference_wall_seconds"":5.9082771269313525,""motor_energy_demand"":0.022188234178007974,""reaction_seconds"":null,""recovery_seconds"":null,""simulation_seconds"":1.5}]",0.09809786342045705,0,0.022188234178007974,0.6019021365795447,0.0,not_applicable,stress,clean,190003,connectome,"[""connectome""]",75,aa4b3cee902019b16faa0c35609e9e3aa006dbc0e2621dfb08ceab6de62fa6fb,stress--connectome--clean--190003.npz,41e7570ba59aa486b1386440720d1fdd0cd96d809b1dfaff638e953ebcaa7c9c
completed,,75,5.978043665993027,1.5,532332544,"[{""baseline_escape_drive"":null,""collision_substeps"":0,""escape_drive_integral"":1.4317097720609877,""final_simulated_energy"":0.379422980428617,""food"":0.10614668557215967,""inference_mean_ms"":75.60533882545619,""inference_wall_seconds"":5.670400411909213,""motor_energy_demand"":0.023650362357461093,""reaction_seconds"":null,""recovery_seconds"":null,""simulation_seconds"":1.5}]",0.10614668557215967,0,0.023650362357461093,0.5938533144278424,0.0,not_applicable,stress,clean,190004,connectome,"[""connectome""]",75,aa4b3cee902019b16faa0c35609e9e3aa006dbc0e2621dfb08ceab6de62fa6fb,stress--connectome--clean--190004.npz,152ae7c2094e618ed156fd7e3c4b1b8f39570f8643316b43b8590b7d75ac2218
completed,,75,5.957059499982279,1.5,532332544,"[{""baseline_escape_drive"":null,""collision_substeps"":0,""escape_drive_integral"":1.4580767334824984,""final_simulated_energy"":0.3772552253969048,""food"":0.10262649387817079,""inference_mean_ms"":75.30639826979798,""inference_wall_seconds"":5.647979870234849,""motor_energy_demand"":0.0240580215421793,""reaction_seconds"":null,""recovery_seconds"":null,""simulation_seconds"":1.5}]",0.10262649387817079,0,0.0240580215421793,0.5973735061218313,0.0,not_applicable,stress,clean,190005,connectome,"[""connectome""]",75,aa4b3cee902019b16faa0c35609e9e3aa006dbc0e2621dfb08ceab6de62fa6fb,stress--connectome--clean--190005.npz,031e28edd0cb8d144e73ec4605d5adca118e4e019d5d0804f9ead7409db8e9a5
completed,,75,7.151324082980864,1.5,532365312,"[{""baseline_escape_drive"":null,""collision_substeps"":0,""escape_drive_integral"":1.3025929173918867,""final_simulated_energy"":0.37495082422447457,""food"":0.09323835886265433,""inference_mean_ms"":89.45419999809626,""inference_wall_seconds"":6.709064999857219,""motor_energy_demand"":0.021668355206851828,""reaction_seconds"":null,""recovery_seconds"":null,""simulation_seconds"":1.5}]",0.09323835886265433,0,0.021668355206851828,0.6067616411373473,0.0,not_applicable,stress,clean,190006,connectome,"[""connectome""]",75,aa4b3cee902019b16faa0c35609e9e3aa006dbc0e2621dfb08ceab6de62fa6fb,stress--connectome--clean--190006.npz,693e54f182f2e8490618b13f5f922bf88abaf8944fd00b3e345af31b8a03d60f
completed,,75,7.862833124992903,1.5,534069248,"[{""baseline_escape_drive"":null,""collision_substeps"":0,""escape_drive_integral"":1.3887955656360966,""final_simulated_energy"":0.36032031108231843,""food"":0.0670080361889535,""inference_mean_ms"":99.22958785124744,""inference_wall_seconds"":7.442219088843558,""motor_energy_demand"":0.023183707012157974,""reaction_seconds"":null,""recovery_seconds"":null,""simulation_seconds"":1.5}]",0.0670080361889535,0,0.023183707012157974,0.6329919638110477,0.0,not_applicable,stress,clean,190007,connectome,"[""connectome""]",75,aa4b3cee902019b16faa0c35609e9e3aa006dbc0e2621dfb08ceab6de62fa6fb,stress--connectome--clean--190007.npz,4490139f725fe8c9fb58a614360aa0176d119b6d6975acd255bb0e293335a64a
completed,,75,10.033864917000756,1.5,534069248,"[{""baseline_escape_drive"":null,""collision_substeps"":0,""escape_drive_integral"":1.3795691258961928,""final_simulated_energy"":0.3763553547107257,""food"":0.09878485280845459,""inference_mean_ms"":126.62980169290677,""inference_wall_seconds"":9.497235126968008,""motor_energy_demand"":0.023037071693500156,""reaction_seconds"":null,""recovery_seconds"":null,""simulation_seconds"":1.5}]",0.09878485280845459,0,0.023037071693500156,0.6012151471915474,0.0,not_applicable,stress,clean,190008,connectome,"[""connectome""]",75,aa4b3cee902019b16faa0c35609e9e3aa006dbc0e2621dfb08ceab6de62fa6fb,stress--connectome--clean--190008.npz,f00c48f75c8ae241c909d8728b078031e32564ecf9afc5e1dfca93782798726b
completed,,75,10.115918374998728,1.5,457326592,"[{""baseline_escape_drive"":null,""collision_substeps"":0,""escape_drive_integral"":1.4288850155196808,""final_simulated_energy"":0.37556556609975034,""food"":0.09864668557215966,""inference_mean_ms"":126.67696724180134,""inference_wall_seconds"":9.5007725431351,""motor_energy_demand"":0.023757776686328582,""reaction_seconds"":null,""recovery_seconds"":null,""simulation_seconds"":1.5}]",0.09864668557215966,0,0.023757776686328582,0.6013533144278422,0.0,not_applicable,stress,clean,190009,connectome,"[""connectome""]",75,aa4b3cee902019b16faa0c35609e9e3aa006dbc0e2621dfb08ceab6de62fa6fb,stress--connectome--clean--190009.npz,5703adbfd1333ab473361c68a99a0c13f254835ca6cae1d6b6464a6782219bf3
completed,,75,9.639626832999056,1.5,457408512,"[{""baseline_escape_drive"":null,""collision_substeps"":0,""escape_drive_integral"":1.4224510738439653,""final_simulated_energy"":0.3537757686433992,""food"":0.05467088284695525,""inference_mean_ms"":120.97610278559539,""inference_wall_seconds"":9.073207708919654,""motor_energy_demand"":0.023559672780077985,""reaction_seconds"":null,""recovery_seconds"":null,""simulation_seconds"":1.5}]",0.05467088284695525,0,0.023559672780077985,0.6453291171530455,0.0,not_applicable,stress,clean,190010,connectome,"[""connectome""]",75,aa4b3cee902019b16faa0c35609e9e3aa006dbc0e2621dfb08ceab6de62fa6fb,stress--connectome--clean--190010.npz,a04c82d45a1aa4e561e3163fc15d30edfddc73ecafd4f8553d11da2c729256d7
