scenario,controller,ablation,environment_units,completed,status_counts_completed,response_fraction,preactivated_fraction,food_mean,food_ci95_low,food_ci95_high,food_defined_units,collision_substeps_mean,collision_substeps_ci95_low,collision_substeps_ci95_high,collision_substeps_defined_units,motor_energy_demand_mean,motor_energy_demand_ci95_low,motor_energy_demand_ci95_high,motor_energy_demand_defined_units,final_simulated_energy_mean,final_simulated_energy_ci95_low,final_simulated_energy_ci95_high,final_simulated_energy_defined_units,escape_drive_integral_mean,escape_drive_integral_ci95_low,escape_drive_integral_ci95_high,escape_drive_integral_defined_units,inference_mean_ms_mean,inference_mean_ms_ci95_low,inference_mean_ms_ci95_high,inference_mean_ms_defined_units,reaction_seconds_mean,reaction_seconds_ci95_low,reaction_seconds_ci95_high,reaction_seconds_defined_units,recovery_seconds_mean,recovery_seconds_ci95_low,recovery_seconds_ci95_high,recovery_seconds_defined_units
A_contraction,connectome,none,30,30,30,0.5333333333333333,0.06666666666666667,0.0,0.0,0.0,30,0.0,0.0,0.0,30,0.006360010264884741,0.004810842964510648,0.008126411200657168,30,0.8436399897351154,0.8416865423141214,0.8452348309450732,30,0.23163460244513004,0.1311730957580998,0.3541942394484678,30,55.60280293636121,52.89206080180557,58.45999418696774,30,0.18125,0.09246875,0.2837812499999999,16,,,,0
A_contraction,connectome,output_disconnect,30,30,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,30,0.0028799384056635135,0.002846595182960557,0.0029194500940923035,30,0.8471200615943367,0.8470834068653438,0.8471562620571634,30,0.0,0.0,0.0,30,75.18038312908418,68.89446762442724,81.46639490427819,30,,,,0,,,,0
A_contraction,connectome,readout_clamp,30,30,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,30,0.0020000000000000005,0.0020000000000000005,0.0020000000000000005,30,0.8480000000000092,0.8480000000000092,0.8480000000000092,30,0.0,0.0,0.0,30,66.57399683913293,61.88337097111265,71.15944696274478,30,,,,0,,,,0
A_contraction,connectome,vision_off,30,30,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,30,0.0028799384056635135,0.0028437945056553554,0.002919286124797276,30,0.8471200615943367,0.8470817476375426,0.8471540798219456,30,0.0,0.0,0.0,30,85.25872388897308,79.46321225211602,91.57945370699501,30,,,,0,,,,0
A_contraction,feedforward-101,none,30,30,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,30,0.008141397905121247,0.008132798560627675,0.008149516253324102,30,0.8418586020948787,0.8418498755574103,0.8418675141624493,30,0.14503900644183162,0.14463242956250907,0.14544710042364895,30,0.10296914688660763,0.10219240331449933,0.10385888104647165,30,,,,0,,,,0
A_contraction,feedforward-202,none,30,30,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,30,0.008514106857736905,0.008511182577498505,0.008517015566412857,30,0.8414858931422627,0.8414829739789661,0.8414889508339044,30,0.1536889040072759,0.1535735426000009,0.15379810063640276,30,0.11322611906992582,0.11245917795070758,0.11404340086883168,30,,,,0,,,,0
A_contraction,feedforward-303,none,30,30,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,30,0.004409320260753856,0.004407537065915422,0.004410952393892439,30,0.8455906797392462,0.845588952573665,0.8455923598172904,30,0.03541691134683788,0.035311665731342506,0.03551838217061014,30,0.12356754687304299,0.12291623906348832,0.12419395826776357,30,,,,0,,,,0
A_contraction,hybrid-101,none,30,30,30,0.16666666666666666,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,30,0.02002015448814631,0.019957921091428146,0.020082875082738694,30,0.8299798455118537,0.8299152865561862,0.8300395938541577,30,0.8815113999843598,0.8772462264120579,0.8860516887607675,30,0.17245572075868645,0.1600870351040309,0.18907969862945417,30,0.404,0.3,0.58,5,,,,0
A_contraction,hybrid-101,reflex_off,30,30,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,30,0.0197375564366281,0.019665588857588418,0.019803362811411918,30,0.8302624435633719,0.8301986785860543,0.8303256797170798,30,0.8625249941448371,0.8581468736261131,0.8666556018869083,30,0.13145616738862978,0.11770129087623596,0.15788480973666688,30,,,,0,,,,0
A_contraction,hybrid-202,none,30,30,30,0.26666666666666666,0.16666666666666666,0.0,0.0,0.0,30,0.0,0.0,0.0,30,0.02549848416122794,0.025418140445954845,0.025589344030300526,30,0.8245015158387721,0.824410028296842,0.8245824564419036,30,1.111342719902595,1.1058946891156338,1.1176108178816735,30,0.4161753731411106,0.37547011971522204,0.4595585566972052,30,0.21750000000000003,0.10750000000000001,0.35250000000000004,8,,,,0
A_contraction,hybrid-202,reflex_off,30,30,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,30,0.02519725407688816,0.025162623313113048,0.02523128331919586,30,0.8248027459231118,0.8247669554354773,0.8248388063858564,30,1.091003976136446,1.0888027263022964,1.0932650989013415,30,0.11777259225103383,0.11686470815014521,0.11869749148463599,30,,,,0,,,,0
