controller,ablation,scenario,environment_seed,neural_repeat,status,completed_windows,simulation_seconds,wall_seconds,food,collision_substeps,motor_energy_demand,final_simulated_energy,escape_drive_integral,inference_mean_ms,reaction_seconds,recovery_seconds,reaction_status,recovery_status,baseline_escape_drive,preactivated,sampled_peak_process_rss_bytes,rss_sampling,reflex_interventions,physical_energy_debit,physical_energy_debit_status
connectome,none,A_expansion,90020,0,completed,100,2.0,5.349169709006674,0.0,0,0.025551539504274846,0.8244484604957244,1.5129112571322074,52.911485039658146,0.08,,responded,not_applicable,0.0,False,449118208,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
connectome,none,A_expansion,90021,0,completed,100,2.0,5.158913375009433,0.0,0,0.021742084151031998,0.8282579158489684,1.252548319703041,51.02470838028239,0.08,,responded,not_applicable,0.0,False,449150976,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
connectome,none,A_expansion,90022,0,completed,100,2.0,5.1568239589978475,0.0,0,0.026384160001865057,0.8236158399981358,1.5645951610351316,51.00921373057645,0.04,,responded,not_applicable,0.0,False,449200128,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
connectome,none,A_expansion,90023,0,completed,100,2.0,5.371358000003966,0.0,0,0.02719798168979785,0.8228020183102026,1.6157236708375382,53.128546699590515,0.02,,responded,not_applicable,0.2559618907937189,False,449331200,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
connectome,none,A_expansion,90024,0,completed,100,2.0,5.8847303750080755,0.0,0,0.023576731961224284,0.8264232680387761,1.3761274828563124,57.69068541994784,0.02,,responded,not_applicable,0.27243299844769364,False,449495040,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
connectome,none,A_expansion,90025,0,completed,100,2.0,5.756260084002861,0.0,0,0.029105823673243016,0.8208941763267569,1.754549903903446,56.91276745928917,0.02,,responded,not_applicable,0.03686653615476586,False,449511424,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
connectome,none,A_expansion,90026,0,completed,100,2.0,5.252449125007843,0.0,0,0.02711249919087709,0.8228875008091222,1.6105043526066005,51.946775019168854,0.06,,responded,not_applicable,0.12480544403126341,False,449331200,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
connectome,none,A_expansion,90027,0,completed,100,2.0,5.341034084005514,0.0,0,0.028785966437253684,0.8212140335627466,1.717475958108894,52.841584580019116,0.04,,responded,not_applicable,0.0,False,449495040,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
connectome,none,A_expansion,90028,0,completed,100,2.0,5.187915582995629,0.0,0,0.02742178042063491,0.822578219579365,1.6316337722176317,51.313799990166444,0.04,,responded,not_applicable,0.0,False,449593344,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
connectome,none,A_expansion,90029,0,completed,100,2.0,5.160313250002218,0.0,0,0.02718657107341358,0.8228134289265875,1.6144146606361665,51.052535761118634,0.04,,responded,not_applicable,0.4703981954062824,False,449593344,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
